"semantic_pair","semantic_pair_slug","category","strategy","method","seed","run","n_solutions","n_non_dominated","hypervolume","spacing","population_average_worst_similarity","best_max_min_similarity","objective_space_extent","similarity_extent_objective_1","similarity_extent_objective_2","prompt_1","prompt_2","evaluation_steps","evaluation_repeats","rollout_rng_seed"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_ca","MOEA/D-CA","55","moead_ca5","30","23","0.13531981149458883","0.0024996686821837917","0.3111897190411886","0.3400977849960327","0.16585621237754822","0.07578176259994507","0.09007444977760315","a green frog","a brown tadpole","96","4","65000165"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_mca","MOEA/D-MCA","11","moead_mca1","30","9","0.12171908107590923","0.0008328912693743368","0.3234315663576126","0.3334066867828369","0.04830220341682434","0.02452242374420166","0.02377977967262268","a green frog","a brown tadpole","96","4","21000033"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_mca","MOEA/D-MCA","22","moead_mca2","30","9","0.1254484121474997","0.0052081388396242245","0.3135048339764277","0.3290020823478699","0.07331430912017822","0.038847655057907104","0.03446665406227112","a green frog","a brown tadpole","96","4","32000066"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_mca","MOEA/D-MCA","33","moead_mca3","30","15","0.1328502711652737","0.0008921534098972714","0.31237638294696807","0.33474332094192505","0.11696183681488037","0.058181822299957275","0.058780014514923096","a green frog","a brown tadpole","96","4","43000099"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_mca","MOEA/D-MCA","44","moead_mca4","30","13","0.12325987909470815","0.0011260662134951467","0.31780691842238107","0.3331526815891266","0.0672285258769989","0.03906634449958801","0.02816218137741089","a green frog","a brown tadpole","96","4","54000132"
"Frog--Tadpole","frog_tadpole","Metamorphic relations","moead_mca","MOEA/D-MCA","55","moead_mca5","30","9","0.1272577651927742","0.0027182205965955754","0.317389773329099","0.3350525200366974","0.09966453909873962","0.04833027720451355","0.051334261894226074","a green frog","a brown tadpole","96","4","65000165"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_ca","MOEA/D-CA","11","moead_ca1","30","21","0.13930052508496704","0.0037999610766196834","0.27859434733788174","0.32760435342788696","0.30737149715423584","0.11964604258537292","0.18772545456886292","a silver fish","an orange starfish","96","4","21000033"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_ca","MOEA/D-CA","22","moead_ca2","30","16","0.13431024142659975","0.001472226565669048","0.25938170750935874","0.31280165910720825","0.29956674575805664","0.12649855017662048","0.17306819558143616","a silver fish","an orange starfish","96","4","32000066"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_ca","MOEA/D-CA","33","moead_ca3","30","14","0.1395038166403273","0.0025419329704910584","0.28770990868409474","0.3324663043022156","0.2542693018913269","0.1125868558883667","0.1416824460029602","a silver fish","an orange starfish","96","4","43000099"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_ca","MOEA/D-CA","44","moead_ca4","30","23","0.14265681948828934","0.005289496404439074","0.28063307454188663","0.3414194583892822","0.3045749366283417","0.11619105935096741","0.18838387727737427","a silver fish","an orange starfish","96","4","54000132"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_ca","MOEA/D-CA","55","moead_ca5","30","19","0.1529494410102421","0.01264389725654308","0.29821245471636454","0.3307008743286133","0.29616689682006836","0.13679957389831543","0.15936732292175293","a silver fish","an orange starfish","96","4","65000165"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_mca","MOEA/D-MCA","11","moead_mca1","30","15","0.12696975806568922","0.0034729682678377245","0.30314900577068327","0.32117465138435364","0.14378157258033752","0.0495150089263916","0.09426656365394592","a silver fish","an orange starfish","96","4","21000033"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_mca","MOEA/D-MCA","22","moead_mca2","30","18","0.13686129039348405","0.0","0.3278462012608846","0.34104403853416443","0.0929902195930481","0.03178641200065613","0.06120380759239197","a silver fish","an orange starfish","96","4","32000066"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_mca","MOEA/D-MCA","33","moead_mca3","30","17","0.12157965036749108","0.0041973622957532045","0.3023874054352442","0.3198222517967224","0.13092857599258423","0.057632893323898315","0.07329568266868591","a silver fish","an orange starfish","96","4","43000099"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_mca","MOEA/D-MCA","44","moead_mca4","30","11","0.11691319408600265","0.003285404270329433","0.2966897259155909","0.3174747824668884","0.13725066184997559","0.0703049898147583","0.06694567203521729","a silver fish","an orange starfish","96","4","54000132"
"Fish--Starfish","fish_starfish","Body-topology contrasts","moead_mca","MOEA/D-MCA","55","moead_mca5","30","3","0.12359758430781653","0.01577942177638914","0.31000001430511476","0.3408680558204651","0.1313295066356659","0.041339486837387085","0.08999001979827881","a silver fish","an orange starfish","96","4","65000165"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_ca","MOEA/D-CA","11","moead_ca1","30","20","0.1160530323449418","0.005618354055913546","0.2614897981286049","0.30708277225494385","0.24379898607730865","0.12780539691448212","0.11599358916282654","a red snake","a blue bird","96","4","21000033"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_ca","MOEA/D-CA","22","moead_ca2","30","19","0.11625628499435114","0.01681234523253024","0.2651238963007927","0.30448535084724426","0.2575714439153671","0.11747856438159943","0.1400928795337677","a red snake","a blue bird","96","4","32000066"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_ca","MOEA/D-CA","33","moead_ca3","30","17","0.11752828959841022","0.006486896823863736","0.26124743819236756","0.3062821626663208","0.2545531839132309","0.13596943020820618","0.11858375370502472","a red snake","a blue bird","96","4","43000099"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_ca","MOEA/D-CA","44","moead_ca4","30","18","0.12344674987370263","0.0046518646668279075","0.26148823102315266","0.312770277261734","0.27736885845661163","0.14165343344211578","0.13571542501449585","a red snake","a blue bird","96","4","54000132"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_ca","MOEA/D-CA","55","moead_ca5","30","21","0.11452319414306356","0.004775722145291808","0.26229566633701323","0.2953639030456543","0.2518380880355835","0.12294185161590576","0.12889623641967773","a red snake","a blue bird","96","4","65000165"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_mca","MOEA/D-MCA","11","moead_mca1","30","8","0.10691909374125341","0.002065875284760621","0.3000311503807704","0.3153393268585205","0.079252690076828","0.03587654232978821","0.043376147747039795","a red snake","a blue bird","96","4","21000033"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_mca","MOEA/D-MCA","22","moead_mca2","30","8","0.09804963647784692","0.0019898421682518577","0.28917204240957894","0.3075356185436249","0.06445738673210144","0.024788975715637207","0.03966841101646423","a red snake","a blue bird","96","4","32000066"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_mca","MOEA/D-MCA","33","moead_mca3","30","14","0.10149245861504141","0.0017591237853553337","0.2818411201238632","0.2983996868133545","0.09030976891517639","0.04200071096420288","0.04830905795097351","a red snake","a blue bird","96","4","43000099"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_mca","MOEA/D-MCA","44","moead_mca4","30","9","0.09832793472481338","0.004468321135722507","0.28097460269927976","0.2951837182044983","0.09618431329727173","0.051745593547821045","0.044438719749450684","a red snake","a blue bird","96","4","54000132"
"Snake--Bird","snake_bird","Body-topology contrasts","moead_mca","MOEA/D-MCA","55","moead_mca5","30","9","0.10345591296629664","0.002870268228109539","0.2902202238639196","0.3004072308540344","0.07326817512512207","0.04407531023025513","0.029192864894866943","a red snake","a blue bird","96","4","65000165"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_ca","MOEA/D-CA","11","moead_ca1","30","22","0.16122007135549143","0.003504832570602778","0.29771557251612346","0.3484945595264435","0.31399819254875183","0.13455134630203247","0.17944684624671936","a brown mushroom","a pink branching coral","96","4","21000033"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_ca","MOEA/D-CA","22","moead_ca2","30","22","0.15913562788766278","0.004143536733916786","0.30623634258906046","0.35643428564071655","0.3168436884880066","0.14001598954200745","0.17682769894599915","a brown mushroom","a pink branching coral","96","4","32000066"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_ca","MOEA/D-CA","33","moead_ca3","30","27","0.1651935689776849","0.002902814198279643","0.30162714223066966","0.3619050979614258","0.33365437388420105","0.1495230793952942","0.18413129448890686","a brown mushroom","a pink branching coral","96","4","43000099"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_ca","MOEA/D-CA","44","moead_ca4","30","19","0.15685047705947675","0.005174775377217373","0.3127337614695231","0.3612781763076782","0.2753886282444","0.14039745926856995","0.13499116897583008","a brown mushroom","a pink branching coral","96","4","54000132"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_ca","MOEA/D-CA","55","moead_ca5","30","27","0.1627368601921848","0.0034106350846502148","0.30504582623640697","0.3610725402832031","0.3127487897872925","0.12887561321258545","0.18387317657470703","a brown mushroom","a pink branching coral","96","4","65000165"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_mca","MOEA/D-MCA","11","moead_mca1","30","10","0.1316037174011946","0.0019305144134215927","0.34481831987698874","0.35379505157470703","0.04357600212097168","0.020357638597488403","0.023218363523483276","a brown mushroom","a pink branching coral","96","4","21000033"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_mca","MOEA/D-MCA","22","moead_mca2","30","12","0.14156953030093433","0.003574641065865112","0.34446806212266284","0.34940969944000244","0.07615736126899719","0.023049890995025635","0.05310747027397156","a brown mushroom","a pink branching coral","96","4","32000066"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_mca","MOEA/D-MCA","33","moead_mca3","30","15","0.14786315134201544","0.0032108338904755056","0.3330500483512878","0.35627681016921997","0.09765288233757019","0.06560245156288147","0.03205043077468872","a brown mushroom","a pink branching coral","96","4","43000099"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_mca","MOEA/D-MCA","44","moead_mca4","30","14","0.1447541787601896","0.0028408574665454507","0.34476134479045867","0.36161574721336365","0.0771510899066925","0.038022369146347046","0.03912872076034546","a brown mushroom","a pink branching coral","96","4","54000132"
"Mushroom--Coral","mushroom_coral","Growth-topology contrasts","moead_mca","MOEA/D-MCA","55","moead_mca5","30","20","0.15088029423682858","0.003400074856095807","0.34528880616029106","0.3650512099266052","0.15353792905807495","0.08129090070724487","0.07224702835083008","a brown mushroom","a pink branching coral","96","4","65000165"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_ca","MOEA/D-CA","11","moead_ca1","30","23","0.1294140262311223","0.003093602545175899","0.25934781283140185","0.3138132691383362","0.3359963893890381","0.18388690054416656","0.15210948884487152","a tall green cactus","a red maple tree","96","4","21000033"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_ca","MOEA/D-CA","22","moead_ca2","30","23","0.124490857546808","0.003416832239705956","0.26206525911887485","0.32112422585487366","0.33275824785232544","0.16084425151348114","0.1719139963388443","a tall green cactus","a red maple tree","96","4","32000066"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_ca","MOEA/D-CA","33","moead_ca3","30","18","0.1242650900451272","0.006641969348007672","0.25122987826665244","0.30062076449394226","0.3328540027141571","0.19404791295528412","0.13880608975887299","a tall green cactus","a red maple tree","96","4","43000099"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_ca","MOEA/D-CA","44","moead_ca4","30","20","0.12787776830092223","0.005391026337686196","0.2505670577287674","0.30091822147369385","0.3392412066459656","0.1775418519973755","0.1616993546485901","a tall green cactus","a red maple tree","96","4","54000132"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_ca","MOEA/D-CA","55","moead_ca5","30","22","0.1299606406922562","0.005777052604625201","0.25138363391160967","0.30956774950027466","0.3518577367067337","0.184835284948349","0.1670224517583847","a tall green cactus","a red maple tree","96","4","65000165"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_mca","MOEA/D-MCA","11","moead_mca1","30","17","0.10875746373631578","0.0012090091756900656","0.30390366514523826","0.3160563111305237","0.07717210054397583","0.04464811086654663","0.0325239896774292","a tall green cactus","a red maple tree","96","4","21000033"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_mca","MOEA/D-MCA","22","moead_mca2","30","18","0.10948359698017551","0.0006586177341988752","0.3133330881595612","0.32180142402648926","0.05853572487831116","0.023332715034484863","0.035203009843826294","a tall green cactus","a red maple tree","96","4","32000066"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_mca","MOEA/D-MCA","33","moead_mca3","30","11","0.10474063381684573","0.0027302645596505703","0.3034770260254542","0.31528016924858093","0.07064920663833618","0.026047974824905396","0.044601231813430786","a tall green cactus","a red maple tree","96","4","43000099"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_mca","MOEA/D-MCA","44","moead_mca4","30","6","0.10501146816194762","0.003816377386159976","0.30201176007588704","0.3119297921657562","0.049529701471328735","0.025632023811340332","0.023897677659988403","a tall green cactus","a red maple tree","96","4","54000132"
"Cactus--Maple","cactus_maple","Growth-topology contrasts","moead_mca","MOEA/D-MCA","55","moead_mca5","30","14","0.10431828801887022","0.0","0.29534758925437926","0.3091823160648346","0.0733722448348999","0.040681689977645874","0.03269055485725403","a tall green cactus","a red maple tree","96","4","65000165"
