"semantic_pair_slug","strategy","seed","run","model_count","prompt_1","prompt_2","relative_run_dir"
"fish_starfish","moead_ca","11","moead_ca1","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_ca/seed_11"
"fish_starfish","moead_ca","22","moead_ca2","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_ca/seed_22"
"fish_starfish","moead_ca","33","moead_ca3","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_ca/seed_33"
"fish_starfish","moead_ca","44","moead_ca4","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_ca/seed_44"
"fish_starfish","moead_ca","55","moead_ca5","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_ca/seed_55"
"fish_starfish","moead_mca","11","moead_mca1","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_mca/seed_11"
"fish_starfish","moead_mca","22","moead_mca2","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_mca/seed_22"
"fish_starfish","moead_mca","33","moead_mca3","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_mca/seed_33"
"fish_starfish","moead_mca","44","moead_mca4","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_mca/seed_44"
"fish_starfish","moead_mca","55","moead_mca5","30","a silver fish","an orange starfish","checkpoints/stage3/fish_starfish/moead_mca/seed_55"
"frog_tadpole","moead_ca","11","moead_ca1","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_ca/seed_11"
"frog_tadpole","moead_ca","22","moead_ca2","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_ca/seed_22"
"frog_tadpole","moead_ca","33","moead_ca3","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_ca/seed_33"
"frog_tadpole","moead_ca","44","moead_ca4","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_ca/seed_44"
"frog_tadpole","moead_ca","55","moead_ca5","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_ca/seed_55"
"frog_tadpole","moead_mca","11","moead_mca1","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_mca/seed_11"
"frog_tadpole","moead_mca","22","moead_mca2","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_mca/seed_22"
"frog_tadpole","moead_mca","33","moead_mca3","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_mca/seed_33"
"frog_tadpole","moead_mca","44","moead_mca4","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_mca/seed_44"
"frog_tadpole","moead_mca","55","moead_mca5","30","a green frog","a brown tadpole","checkpoints/stage3/frog_tadpole/moead_mca/seed_55"
"mushroom_coral","moead_ca","11","moead_ca1","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_ca/seed_11"
"mushroom_coral","moead_ca","22","moead_ca2","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_ca/seed_22"
"mushroom_coral","moead_ca","33","moead_ca3","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_ca/seed_33"
"mushroom_coral","moead_ca","44","moead_ca4","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_ca/seed_44"
"mushroom_coral","moead_ca","55","moead_ca5","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_ca/seed_55"
"mushroom_coral","moead_mca","11","moead_mca1","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_mca/seed_11"
"mushroom_coral","moead_mca","22","moead_mca2","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_mca/seed_22"
"mushroom_coral","moead_mca","33","moead_mca3","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_mca/seed_33"
"mushroom_coral","moead_mca","44","moead_mca4","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_mca/seed_44"
"mushroom_coral","moead_mca","55","moead_mca5","30","a brown mushroom","a pink branching coral","checkpoints/stage3/mushroom_coral/moead_mca/seed_55"
"snake_bird","moead_ca","11","moead_ca1","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_ca/seed_11"
"snake_bird","moead_ca","22","moead_ca2","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_ca/seed_22"
"snake_bird","moead_ca","33","moead_ca3","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_ca/seed_33"
"snake_bird","moead_ca","44","moead_ca4","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_ca/seed_44"
"snake_bird","moead_ca","55","moead_ca5","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_ca/seed_55"
"snake_bird","moead_mca","11","moead_mca1","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_mca/seed_11"
"snake_bird","moead_mca","22","moead_mca2","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_mca/seed_22"
"snake_bird","moead_mca","33","moead_mca3","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_mca/seed_33"
"snake_bird","moead_mca","44","moead_mca4","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_mca/seed_44"
"snake_bird","moead_mca","55","moead_mca5","30","a red snake","a blue bird","checkpoints/stage3/snake_bird/moead_mca/seed_55"
